,Prompt,Completion
0," Schrijf een wedstrijd samenvatting met minimaal 100 woorden en met maximaal 200 woorden over de tekst.
    Schrijf in de stijl van een sport verslaggever.
    tekst: 
    Wedstrijd: Burnley speelt thuis tegen Bournemouth.
    Events: Burnley scoorde in minuut 38. Bournemouth scoorde in minuut 73. Bournemouth scoorde in minuut 92. 
    Balbezit: Burnley Had 51.4 procent balbezit en Bournemouth had 48.6 procent balbezit.
    Eindstand: Bournemouth heeft gewonnen met 1-2.",Hier komt de gehele samenvatting die bij de wedstrijd hoort.
0," Schrijf een wedstrijd samenvatting met minimaal 100 woorden en met maximaal 200 woorden over de tekst.
    Schrijf in de stijl van een sport verslaggever.
    tekst: 
    Wedstrijd: Crystal Palace speelt thuis tegen West Bromwich Albion.
    Events: Crystal Palace scoorde in minuut 77. Crystal Palace scoorde in minuut 69. 
    Balbezit: Crystal Palace Had 59.2 procent balbezit en West Bromwich Albion had 40.8 procent balbezit.
    Eindstand: Crystal Palace heeft gewonnen met 2-0.",Hier komt de gehele samenvatting die bij de wedstrijd hoort.
0," Schrijf een wedstrijd samenvatting met minimaal 100 woorden en met maximaal 200 woorden over de tekst.
    Schrijf in de stijl van een sport verslaggever.
    tekst: 
    Wedstrijd: Huddersfield Town speelt thuis tegen Arsenal.
    Events: Arsenal scoorde in minuut 37. 
    Balbezit: Huddersfield Town Had 45.0 procent balbezit en Arsenal had 55.0 procent balbezit.
    Eindstand: Arsenal heeft gewonnen met 0-1.",Hier komt de gehele samenvatting die bij de wedstrijd hoort.
0," Schrijf een wedstrijd samenvatting met minimaal 100 woorden en met maximaal 200 woorden over de tekst.
    Schrijf in de stijl van een sport verslaggever.
    tekst: 
    Wedstrijd: Liverpool speelt thuis tegen Brighton and Hove Albion.
    Events: Liverpool scoorde in minuut 39. Liverpool scoorde in minuut 52. Liverpool scoorde in minuut 84. Liverpool scoorde in minuut 25. 
    Balbezit: Liverpool Had 72.3 procent balbezit en Brighton and Hove Albion had 27.7 procent balbezit.
    Eindstand: Liverpool heeft gewonnen met 4-0.",Hier komt de gehele samenvatting die bij de wedstrijd hoort.
0," Schrijf een wedstrijd samenvatting met minimaal 100 woorden en met maximaal 200 woorden over de tekst.
    Schrijf in de stijl van een sport verslaggever.
    tekst: 
    Wedstrijd: Manchester United speelt thuis tegen Watford.
    Events: Manchester United scoorde in minuut 33. 
    Balbezit: Manchester United Had 51.4 procent balbezit en Watford had 48.6 procent balbezit.
    Eindstand: Manchester United heeft gewonnen met 1-0.",Hier komt de gehele samenvatting die bij de wedstrijd hoort.
0," Schrijf een wedstrijd samenvatting met minimaal 100 woorden en met maximaal 200 woorden over de tekst.
    Schrijf in de stijl van een sport verslaggever.
    tekst: 
    Wedstrijd: Newcastle United speelt thuis tegen Chelsea.
    Events: Newcastle United scoorde in minuut 22. Newcastle United scoorde in minuut 62. Newcastle United scoorde in minuut 58. 
    Balbezit: Newcastle United Had 42.0 procent balbezit en Chelsea had 58.0 procent balbezit.
    Eindstand: Newcastle United heeft gewonnen met 3-0.",Hier komt de gehele samenvatting die bij de wedstrijd hoort.
0," Schrijf een wedstrijd samenvatting met minimaal 100 woorden en met maximaal 200 woorden over de tekst.
    Schrijf in de stijl van een sport verslaggever.
    tekst: 
    Wedstrijd: Southampton speelt thuis tegen Manchester City.
    Events: Manchester City scoorde in minuut 93. 
    Balbezit: Southampton Had 30.3 procent balbezit en Manchester City had 69.7 procent balbezit.
    Eindstand: Manchester City heeft gewonnen met 0-1.",Hier komt de gehele samenvatting die bij de wedstrijd hoort.
0," Schrijf een wedstrijd samenvatting met minimaal 100 woorden en met maximaal 200 woorden over de tekst.
    Schrijf in de stijl van een sport verslaggever.
    tekst: 
    Wedstrijd: Swansea City speelt thuis tegen Stoke City.
    Events: Stoke City scoorde in minuut 40. Swansea City scoorde in minuut 13. Stoke City scoorde in minuut 30. 
    Balbezit: Swansea City Had 57.6 procent balbezit en Stoke City had 42.4 procent balbezit.
    Eindstand: Stoke City heeft gewonnen met 1-2.",Hier komt de gehele samenvatting die bij de wedstrijd hoort.
0," Schrijf een wedstrijd samenvatting met minimaal 100 woorden en met maximaal 200 woorden over de tekst.
    Schrijf in de stijl van een sport verslaggever.
    tekst: 
    Wedstrijd: Tottenham Hotspur speelt thuis tegen Leicester City.
    Events: Leicester City scoorde in minuut 52. Tottenham Hotspur scoorde in minuut 75. Leicester City scoorde in minuut 72. Leicester City scoorde in minuut 3. Leicester City scoorde in minuut 46. Tottenham Hotspur scoorde in minuut 6. Leicester City scoorde in minuut 15. Tottenham Hotspur scoorde in minuut 48. Tottenham Hotspur scoorde in minuut 59. 
    Balbezit: Tottenham Hotspur Had 64.0 procent balbezit en Leicester City had 36.0 procent balbezit.
    Eindstand: Tottenham Hotspur heeft gewonnen met 5-4.",Hier komt de gehele samenvatting die bij de wedstrijd hoort.
0," Schrijf een wedstrijd samenvatting met minimaal 100 woorden en met maximaal 200 woorden over de tekst.
    Schrijf in de stijl van een sport verslaggever.
    tekst: 
    Wedstrijd: West Ham United speelt thuis tegen Everton.
    Events: West Ham United scoorde in minuut 38. Everton scoorde in minuut 73. West Ham United scoorde in minuut 81. West Ham United scoorde in minuut 62. 
    Balbezit: West Ham United Had 56.6 procent balbezit en Everton had 43.4 procent balbezit.
    Eindstand: West Ham United heeft gewonnen met 3-1.",Hier komt de gehele samenvatting die bij de wedstrijd hoort.
